seed,r,epsilon,low_steps,high_steps,observed_cost,candidate_sources
11,0.15,1e-05,4,42,42.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,8,15,16.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,8,20,21.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,8,41,42.2,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,15,8,10.25,legacy_budget;previous_experiment_grid
11,0.15,0.0001,15,17,19.25,legacy_budget;previous_experiment_grid
11,0.15,1e-05,15,21,23.25,legacy_budget;previous_experiment_grid
11,0.15,0.001,16,7,9.4,power_of_two;legacy_budget;previous_experiment_grid;local_refinement
11,0.15,0.0001,16,15,17.4,power_of_two;legacy_budget;previous_experiment_grid;local_refinement
11,0.15,1e-05,16,21,23.4,power_of_two;legacy_budget;previous_experiment_grid;local_refinement
11,0.15,0.001,17,6,8.55,legacy_budget;previous_experiment_grid
11,0.15,0.0001,17,14,16.55,legacy_budget;previous_experiment_grid
11,0.15,1e-05,17,20,22.55,legacy_budget;previous_experiment_grid
11,0.15,0.001,18,6,8.7,previous_experiment_grid;local_refinement
11,0.15,0.0001,18,12,14.7,previous_experiment_grid;local_refinement
11,0.15,1e-05,18,20,22.7,previous_experiment_grid;local_refinement
11,0.15,0.001,19,6,8.85,local_refinement
11,0.15,0.0001,19,11,13.85,local_refinement
11,0.15,1e-05,19,19,21.85,local_refinement
11,0.15,0.001,20,6,9.0,cost_comparison_switch_budget
11,0.15,0.0001,20,10,13.0,cost_comparison_switch_budget
11,0.15,1e-05,20,17,20.0,cost_comparison_switch_budget
11,0.15,0.001,21,6,9.15,local_refinement
11,0.15,0.0001,21,10,13.15,local_refinement
11,0.15,1e-05,21,17,20.15,local_refinement
11,0.15,0.001,32,6,10.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,32,14,18.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,32,20,24.8,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,40,6,12.0,cost_comparison_switch_budget
11,0.15,0.0001,40,11,17.0,cost_comparison_switch_budget
11,0.15,1e-05,40,19,25.0,cost_comparison_switch_budget
11,0.15,0.001,62,5,14.299999999999999,cost_comparison_switch_budget
11,0.15,0.0001,62,10,19.299999999999997,cost_comparison_switch_budget
11,0.15,1e-05,62,17,26.299999999999997,cost_comparison_switch_budget
11,0.15,0.001,63,5,14.45,previous_experiment_grid
11,0.15,0.0001,63,10,19.45,previous_experiment_grid
11,0.15,1e-05,63,17,26.45,previous_experiment_grid
11,0.15,0.001,64,5,14.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.0001,64,10,19.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,1e-05,64,17,26.6,power_of_two;legacy_budget;previous_experiment_grid
11,0.15,0.001,65,6,15.75,previous_experiment_grid
11,0.15,0.0001,65,10,19.75,previous_experiment_grid
11,0.15,1e-05,65,18,27.75,previous_experiment_grid
11,0.15,0.001,84,6,18.6,legacy_budget;previous_experiment_grid
