seed,r_requested,r_actual,n_low,epsilon,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_warm,K1_selected,K1_empirical,direct_bound,warm_bound,selected_bound,direct_cost,selected_cost,empirical_cost,regret,speedup,theory_warm,empirical_warm,agreement,harmful_selected_warm,comparison_complete,candidate_count,reached_candidates,low_reference_grad_norm,high_reference_grad_norm
11,0.14999999999999999,0.14999999999999999,16500,1.0000000000000001e-05,1.0674967824135657,1.0481290031906361,0.01,1.123975082957251,1.0785891330868336,0.11728204106407059,266.25669529630261,266,266,17,494,133.90000000000001,133.90000000000001,40,52.899999999999999,20.550000000000001,1.5742092457420922,0.75614366729678639,1,1,1,1,1,18,18,3.0405899518763753e-12,2.3889349411324013e-12
12,0.14999999999999999,0.14999999999999999,16500,0.001,1.043245858066024,1.0481290031906361,0.01,1.0831198099811379,1.0785891330868336,0.098508904111312551,82.179873553176122,82,82,17,50,29.299999999999997,29.299999999999997,14,12.299999999999999,3.5499999999999998,2.464788732394366,1.1382113821138213,1,1,1,0,1,20,20,3.6241163287366584e-12,2.3889349411324013e-12
12,0.14999999999999999,0.14999999999999999,16500,0.0001,1.043245858066024,1.0481290031906361,0.01,1.0831198099811379,1.0785891330868336,0.098508904111312551,146.13877705921533,146,146,31,157,58.899999999999999,58.899999999999999,20,26.899999999999999,9.6499999999999986,1.7875647668393784,0.74349442379182162,1,1,1,1,1,20,20,3.6241163287366584e-12,2.3889349411324013e-12
12,0.14999999999999999,0.14999999999999999,16500,1.0000000000000001e-05,1.043245858066024,1.0481290031906361,0.01,1.0831198099811379,1.0785891330868336,0.098508904111312551,259.87557825267106,259,259,31,494,123.84999999999999,123.84999999999999,40,47.850000000000001,15.649999999999999,2.0575079872204478,0.83594566353187039,1,1,1,1,1,20,20,3.6241163287366584e-12,2.3889349411324013e-12
13,0.14999999999999999,0.14999999999999999,16500,0.001,1.0724940465264021,1.0481290031906361,0.01,1.0987139765789224,1.0785891330868336,0.11908030021715538,83.343473965143545,84,84,16,50,30.600000000000001,30.600000000000001,14,12.6,3.3999999999999999,2.7058823529411766,1.1111111111111112,1,1,1,0,1,20,20,1.0413295943229974e-12,2.3889349411324013e-12
13,0.14999999999999999,0.14999999999999999,16500,0.0001,1.0724940465264021,1.0481290031906361,0.01,1.0987139765789224,1.0785891330868336,0.11908030021715538,148.20798371332981,148,148,17,157,62.200000000000003,62.200000000000003,20,28.199999999999999,12.550000000000001,1.2470119521912348,0.70921985815602839,1,1,1,1,1,20,20,1.0413295943229974e-12,2.3889349411324013e-12
13,0.14999999999999999,0.14999999999999999,16500,1.0000000000000001e-05,1.0724940465264021,1.0481290031906361,0.01,1.0987139765789224,1.0785891330868336,0.11908030021715538,263.55520584079835,264,264,17,494,133.59999999999999,133.59999999999999,40,51.600000000000001,20.550000000000001,1.5109489051094891,0.77519379844961234,1,1,1,1,1,20,20,1.0413295943229974e-12,2.3889349411324013e-12
11,0.25,0.25,27500,0.001,1.0486273113374767,1.0481290031906361,0.01,1.1319238916307419,1.0785891330868336,0.1047840360178308,65.158350515439352,66,66,15,50,37.5,37.5,14,16.5,3.75,3.4000000000000004,0.84848484848484851,1,1,1,1,1,17,17,2.3112967190374214e-12,2.3889349411324013e-12
11,0.25,0.25,27500,0.0001,1.0486273113374767,1.0481290031906361,0.01,1.1319238916307419,1.0785891330868336,0.1047840360178308,115.86975311370483,115,115,17,157,73.75,73.75,20,33.75,10.25,2.2926829268292681,0.59259259259259256,1,1,1,1,1,17,17,2.3112967190374214e-12,2.3889349411324013e-12
11,0.25,0.25,27500,1.0000000000000001e-05,1.0486273113374767,1.0481290031906361,0.01,1.1319238916307419,1.0785891330868336,0.1047840360178308,206.04879620839469,206,206,17,494,151.5,151.5,40,66.5,20.25,2.2839506172839505,0.60150375939849621,1,1,1,1,1,17,17,2.3112967190374214e-12,2.3889349411324013e-12
