seed,r,epsilon,method,status,low_steps,high_steps,c1,c2,observed_cost,best_tested_budget,best_tested_cost,direct_cost,cost_ratio,regret_percent,beneficial
12,0.05,0.001,best_tested_fixed,complete,29,7,0.05,1.0,8.45,29,8.45,18.0,2.1301775147928996,0.0,True
12,0.15,1e-05,best_tested_fixed,complete,29,16,0.15,1.0,20.35,29,20.35,42.0,2.0638820638820636,0.0,True
12,0.15,0.0001,best_tested_fixed,complete,29,8,0.15,1.0,12.35,29,12.35,36.0,2.91497975708502,0.0,True
12,0.15,0.001,best_tested_fixed,complete,20,6,0.15,1.0,9.0,20,9.0,18.0,2.0,0.0,True
12,0.25,1e-05,best_tested_fixed,complete,29,12,0.25,1.0,19.25,29,19.25,42.0,2.1818181818181817,0.0,True
12,0.25,0.0001,best_tested_fixed,complete,29,7,0.25,1.0,14.25,29,14.25,36.0,2.526315789473684,0.0,True
12,0.25,0.001,best_tested_fixed,complete,18,6,0.25,1.0,10.5,18,10.5,18.0,1.7142857142857142,0.0,True
13,0.05,1e-05,best_tested_fixed,complete,29,26,0.05,1.0,27.45,29,27.45,42.0,1.5300546448087433,0.0,True
13,0.05,0.0001,best_tested_fixed,complete,29,13,0.05,1.0,14.45,29,14.45,36.0,2.491349480968858,0.0,True
13,0.05,0.001,best_tested_fixed,complete,29,8,0.05,1.0,9.45,29,9.45,18.0,1.9047619047619049,0.0,True
13,0.15,1e-05,best_tested_fixed,complete,21,13,0.15,1.0,16.15,21,16.15,42.0,2.60061919504644,0.0,True
13,0.15,0.0001,best_tested_fixed,complete,21,10,0.15,1.0,13.15,21,13.15,36.0,2.7376425855513307,0.0,True
13,0.15,0.001,best_tested_fixed,complete,19,6,0.15,1.0,8.85,19,8.85,18.0,2.0338983050847457,0.0,True
13,0.25,1e-05,best_tested_fixed,complete,44,13,0.25,1.0,24.0,44,24.0,42.0,1.75,0.0,True
13,0.25,0.0001,best_tested_fixed,complete,29,10,0.25,1.0,17.25,29,17.25,36.0,2.0869565217391304,0.0,True
13,0.25,0.001,best_tested_fixed,complete,17,6,0.25,1.0,10.25,17,10.25,18.0,1.7560975609756098,0.0,True
