seed,r_requested,r_actual,n_low,epsilon,K1,K2_gap,cost,direct_cost,cost_over_direct,target_reached,hf_iterations_run,warm_gap,warm_distance,transfer_distance_bound,L1,L2,mu,R1,R2,Delta,K1_continuous,K1_selected,comparison_complete
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,257,10,22.850000000000001,40,0.57125000000000004,1,10,0.0012744763840782936,0.114542109051332,0.20370070931881373,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,258,10,22.899999999999999,40,0.57250000000000001,1,10,0.0012744693109224547,0.11454129832823003,0.20335513051960818,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,458,10,32.900000000000006,40,0.82250000000000012,1,10,0.0012744711678891463,0.11454156633070842,0.16457183296684322,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,459,10,32.950000000000003,40,0.82375000000000009,1,10,0.0012744711862211489,0.11454156861470068,0.16446283415672761,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
11,0.050000000000000003,0.050000000000000003,5500,1.0000000000000001e-05,512,10,35.600000000000001,40,0.89000000000000001,1,10,0.0012744693596830059,0.11454138580351857,0.15929518353808225,1.1102161353297644,1.0481290031906361,0.01,1.0873419847173953,1.0785891330868336,0.11454137912377643,458.06397941643729,458,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,0,14,14,14,1,1,40,0.046806446546994396,1.0785891330868336,1.0785891330868336,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,1,14,14.050000000000001,14,1.0035714285714286,1,40,0.033333024433843006,0.99228409822999419,22.355787144891806,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,2,14,14.1,14,1.0071428571428571,1,40,0.02639348675277331,0.92661276472952314,11.282664083947857,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,4,13,13.199999999999999,14,0.94285714285714284,1,40,0.016122841427839152,0.79046913067899682,5.7461025534758825,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,8,12,12.4,14,0.88571428571428579,1,23,0.00708467497119325,0.57401254688339509,2.9778217882398956,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,16,5,5.7999999999999998,14,0.41428571428571426,1,21,0.0041100709281129966,0.33063083413959399,1.593681405621902,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,31,3,4.5499999999999998,14,0.32500000000000001,1,14,0.0028778979571499885,0.19218966290582823,0.92393605919384048,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,32,3,4.5999999999999996,14,0.32857142857142857,1,14,0.0029007826243184764,0.19396812411886433,0.90161121431290514,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
12,0.050000000000000003,0.050000000000000003,5500,0.001,33,3,4.6500000000000004,14,0.33214285714285718,1,14,0.0029213722116799845,0.19574053825089788,0.88063939033384464,1.0634364129648615,1.0481290031906361,0.01,1.0737776571358963,1.0785891330868336,0.20954102300390831,142.40532932527589,142,1
